time ax ay az
618678574954370 5.472086 5.443073 1.607678 
618678594978641 4.106682 5.129314 1.408774 
618678614985360 1.948356 4.513462 0.896112 
618678635009630 -0.015852 4.554439 1.533201 
618678655042547 -1.352543 4.678865 2.086541 
618678675066818 -2.107179 4.537689 1.835295 
618678695096089 -3.956532 4.214060 1.248156 
618678715120308 -5.204389 4.307679 1.315454 
618678735091662 -5.997311 4.274179 1.657927 
618678755115880 -6.531508 4.046562 1.945365 
618678775195255 -7.029814 3.742375 2.666502 
618678795219474 -8.970094 2.427219 2.843571 
618678815242287 -11.178968 1.881058 2.774179 
618678835266505 -12.184851 1.902593 3.353840 
618678855279578 -12.345469 2.091626 4.908576 
618678875287078 -12.678370 2.218745 5.837889 
618678895311297 -12.970594 2.736193 5.595915 
618678915361193 -12.407682 3.586542 5.782854 
618678935385464 -11.301003 4.240381 6.321837 
618678955413068 -11.051849 4.698008 6.501598 
618678975437287 -12.113067 4.753043 5.929115 
618678995457443 -12.996915 4.623831 5.315656 
618679015481662 -13.212568 4.271787 5.229514 
618679035480151 -13.243675 3.950550 5.198407 
618679055504370 -12.462718 3.809374 5.109873 
618679075517808 -10.970493 3.895515 5.560022 
618679095542078 -8.800203 4.245166 5.960222 
618679115602860 -6.996315 4.875376 5.632106 
618679135627078 -6.064609 5.110172 3.871288 
618679155614578 -4.876274 5.222634 1.983650 
618679175638797 -2.679662 5.680262 1.279263 
618679195665724 -1.283151 6.145068 1.015753 
618679215689995 -1.733600 5.680262 0.692423 
618679235728537 -1.759921 4.417749 0.359522 
618679255752755 -0.336790 4.161417 0.725923 
618679275797599 1.328017 4.355536 1.375275 
618679295821818 2.741277 3.222534 1.298705 
618679315848224 4.089932 2.338386 1.456631 
618679335872443 6.660422 2.762514 2.594418 
618679355885828 8.988638 3.761517 2.922833 
618679375910047 11.202000 5.440681 1.856830 
618679395930516 12.519547 6.204888 1.382453 
618679415954735 13.005888 6.302994 1.583750 
618679435980568 13.523336 6.616753 2.752643 
618679456004787 14.026427 6.865905 3.464209 
618679476025568 14.361721 7.060023 2.807678 
618679496049787 14.826528 7.263712 1.624427 
618679516075151 15.121143 7.122237 0.869791 
618679536099422 15.023038 7.462317 0.314058 
618679556139526 14.656338 7.452745 -0.332901 
618679576163745 13.760525 6.794121 -0.423829 
618679596187026 12.914961 6.324529 0.335593 
618679616211245 12.186646 6.485147 0.922433 
618679636201505 11.767603 6.763014 0.831506 
618679656225724 11.015359 6.585646 1.097408 
618679676286505 10.208080 5.651548 1.854438 
618679696310724 9.132506 5.333004 2.254338 
618679716290724 8.430512 5.708976 2.067399 
618679736314995 7.034001 5.510072 1.643570 
618679756340933 5.472086 5.141279 1.653141 
618679776365203 3.249154 4.178167 1.629213 
618679796396662 1.979463 4.235595 1.916651 
618679816420933 1.105185 4.357928 1.456631 
618679836448276 0.444168 4.223631 0.795614 
618679856472547 -0.473480 4.381856 1.202693 
618679876507495 -1.869991 3.543471 1.770390 
618679896531818 -3.700201 2.396113 1.823032 
618679916545255 -5.736194 2.062912 1.775175 
618679936569578 -6.806982 1.881058 2.558526 
618679956589526 -7.820343 1.121636 3.583850 
618679976625203 -10.469795 -0.358923 4.070191 
618679996649474 -13.241282 -0.993620 4.489234 
618680016680464 -14.570794 -1.508675 4.872684 
