time gx gy gz
2133185312933 -0.174032 0.647529 -2.559755
2133205355068 -0.047270 0.633681 -3.089176
2133225376266 -0.033422 0.840336 -3.708076
2133245383870 0.001731 0.921293 -4.529371
2133265404964 0.287213 0.751921 -5.170774
2133285444808 0.793199 0.522896 -5.491409
2133305465954 0.998789 0.378025 -5.725760
2133325468662 1.041398 0.207587 -5.988873
2133345489756 1.078682 -0.158853 -6.220029
2133365525537 1.008376 -0.594533 -6.299921
2133385546631 0.820895 -0.983343 -6.286073
2133405551943 0.530087 -1.317826 -6.046396
2133425573037 0.219039 -1.610765 -5.547867
2133445609547 0.050732 -1.649114 -4.955597
2133465630693 0.019840 -1.633135 -4.414326
2133485650381 0.215843 -1.971879 -3.678250
2133505671527 0.654719 -2.177469 -1.942985
2133525684860 1.333272 -1.008909 2.266949
2133545706006 2.064022 1.150319 9.852739
2133565708402 2.126871 2.819672 18.553696
2133585729495 0.252061 5.752258 25.848679
2133605754443 -6.869288 12.241924 27.839600
2133625775537 -16.356520 9.921714 18.387520
2133645809860 -10.212123 -4.722445 3.772123
2133665830954 4.121120 -6.246793 -5.236819
2133685849912 5.406857 -1.293326 -5.514844
2133705871006 0.487477 2.499037 -3.311810
