time gx gy gz
2258239333357 0.360715 -5.693937 -0.031957
2258259351586 0.793199 -3.467600 -0.162981
2258279372940 0.269104 -1.223021 0.149266
2258299386013 -0.376427 0.075498 0.445401
2258319407367 -0.590539 0.700790 0.445401
2258339417367 -0.453124 0.870162 0.219571
2258359438721 -0.234751 0.614506 0.080958
2258379496898 -0.024900 0.118108 0.107589
2258399518253 0.165777 -0.396400 0.196136
2258419536794 0.255256 -0.756449 0.298398
2258439558148 0.187082 -0.744731 0.274963
2258459562575 0.016644 -0.612642 0.167375
2258479583930 -0.071770 -0.604120 0.086284
2258499624190 0.051797 -0.789471 0.086284
2258519645492 0.358584 -1.035540 0.154592
2258539659503 0.801721 -1.455241 0.173766
2258559680805 1.384403 -2.290384 -0.012783
2258579673305 2.124740 -3.723256 -0.356853
2258599694607 2.972666 -5.828156 -0.763772
2258619725232 3.344432 -7.833058 -1.320889
2258639746586 3.212343 -9.147555 -2.056965
2258659769294 3.204887 -9.712129 -2.962413
2258679790596 3.265605 -8.941965 -3.468399
2258699826846 2.889578 -7.179937 -3.275592
2258719848200 1.869084 -5.179429 -2.619408
2258739866742 0.472564 -3.119269 -1.707569
2258759888044 -0.934742 -1.253912 -0.769098
2258779901846 -1.874277 -0.152461 -0.123567
2258799923200 -1.987192 -0.187614 0.218506
2258819939190 -1.450315 -0.825689 0.359117
2258839960544 -0.807979 -1.378545 0.317573
2258859985857 -0.513842 -1.352979 0.353791
2258880007211 -0.766435 -0.641403 0.871494
2258900035492 -1.985062 1.285603 2.282928
2258920056846 -4.443620 4.692351 4.768250
2258940087471 -7.414688 9.223986 8.094972
2258960108721 -9.418391 13.620336 11.575221
2258980115805 -9.596285 17.260370 14.350286
2259000137107 -6.402716 19.386576 14.920186
2259020142992 0.686676 18.314951 11.845791
2259040164294 7.405234 13.612879 4.558265
2259060221117 7.980460 2.383991 -1.907832
2259080242367 5.380226 -7.441052 -2.132596
2259100263253 4.287297 -5.241213 -1.338998
2259120284503 3.392368 -0.714904 -2.838846
2259140292992 1.748713 -1.969749 -4.859726
2259160314294 1.627277 -6.959434 -6.649318
2259180349138 3.880244 -11.528351 -7.023214
2259200370388 6.843856 -12.686393 -6.144397
2259220368357 8.987238 -12.436063 -5.381691
2259240389607 9.438897 -13.237118 -4.708463
2259260410440 7.554366 -11.944990 -2.666278
2259280431742 1.534601 -5.119776 2.340450
2259300456325 -6.971550 3.410876 9.649281
2259320477628 -12.284001 7.087129 15.769177
2259340492784 -13.025403 10.784553 17.982731
2259360514034 -6.562501 18.501368 15.141755
2259380551169 2.764946 18.008163 11.112910
2259400572419 8.889236 7.453568 7.630530
2259420596482 11.063377 -0.660578 6.981803
2259440617836 10.287888 1.073622 7.828664
2259460642419 8.890302 5.651061 6.703778
2259480663721 6.962097 7.160630 4.508199
2259500674346 4.255340 6.141068 2.094381
2259520695596 2.539116 3.643097 -0.692401
2259540711846 1.154313 1.689326 -2.579994
2259560733148 -0.278425 0.794531 -3.197829
2259580770909 -0.958177 0.038215 -3.141372
2259600792107 -1.090266 -0.940734 -2.814346
2259620794555 -1.289465 -2.158295 -2.499037
2259640815805 -1.750710 -3.630580 -2.434057
2259660838200 -2.240718 -4.935491 -2.395709
2259680859503 -2.263088 -5.620436 -2.359491
2259700877471 -1.946713 -5.292344 -2.126205
2259720898721 -1.666557 -4.592486 -1.715025
2259740929971 -1.554708 -4.791685 -1.348585
2259760951325 -0.915568 -5.438281 -1.142995
2259780980961 0.229691 -6.107247 -0.848991
2259801002211 1.186270 -7.450639 -0.346201
2259820990284 1.814758 -9.601345 0.068175
2259841011586 2.147110 -10.421575 -0.041544
2259861055388 2.160958 -8.170736 -0.426093
2259881076690 1.407839 -4.422049 -0.291874
2259901103461 0.616370 -2.058163 -0.112915
2259921124763 0.024101 -1.183607 -0.246069
2259941129138 -0.373231 -0.694665 -0.490007
2259961150388 -0.284817 -0.731948 -0.550725
